298.45	18.36891219	343.0198012	3
294.05	18.27835408	349.1848454	5
293.95	17.92079959	347.7856704	5
293.95	18.16628999	349.9951402	14
293.95	18.6572708	352.1160607	14
292.85	17.43137533	352.7809271	49
292.85	17.43137533	354.1634504	60
292.65	17.44275133	354.5005139	60
292.55	17.33464445	354.92931	66
292.45	17.22712413	355.5944068	74
292.25	17.23479119	358.5479826	95
292.15	17.12764064	359.3701913	104
292.15	16.9080555	359.6611708	114
292.05	16.80285449	360.3334362	122
291.95	16.91508672	361.8799161	129
291.85	16.5941693	361.1111073	133
291.85	16.80967799	362.0554991	133
291.85	17.02518668	363.2341239	135
291.75	16.91900918	363.6671502	141
291.75	17.13317385	365.3621089	147
291.65	17.02623961	366.4171006	158
291.65	17.02623961	366.6778861	160
291.55	16.70839129	365.9198645	164
291.55	16.70839129	366.4147827	168
291.55	16.70839129	367.5616191	177
291.45	16.60394555	367.5051764	179
291.45	16.81412207	368.9236042	183
291.35	16.5000717	368.935177	193
291.25	16.39676711	368.8558712	195
291.25	16.39676711	369.7683648	202
291.15	16.29402911	370.2123128	208
291.15	16.29402911	370.7070481	212
291.05	16.19185509	371.1527992	218
291.05	16.19185509	371.8815025	224
290.95	16.29391636	373.384082	231
290.95	16.29391636	374.1393833	237
290.85	15.98918845	373.4299725	241
290.85	16.19158324	375.0782435	247
290.75	16.29093594	376.1517212	251
290.75	16.29093594	376.8032732	256
290.65	16.18846139	377.246177	262
290.55	16.28515112	378.8029142	270
290.55	16.28515112	379.2973743	274
290.45	16.18255248	379.4784188	278
290.35	16.08052036	380.3394625	287
290.35	16.08052036	380.8338307	291
290.35	16.08052036	381.0676516	293
290.25	15.9790521	381.7734452	301
290.25	16.17391859	383.1311424	305
290.15	16.07178097	383.7303346	312
290.15	16.07178097	383.7303346	312
290.05	15.97020874	384.6686254	322
290.05	16.1626209	385.7560403	324
290.05	16.1626209	386.2770243	328
289.95	16.06039442	386.6912579	334
289.95	16.06039442	387.6029153	341
289.85	15.76874985	386.7075053	343
289.85	15.76874985	387.6957806	351
289.85	15.76874985	388.1899183	355
289.75	15.66885789	388.4056072	359
289.75	15.66885789	388.8996987	363
289.75	15.85763931	390.8841853	372
289.65	15.75710535	391.0700932	376
289.65	15.94468994	392.4254881	380
289.55	15.09794702	389.7831802	388
289.55	14.91155261	389.4473427	392
289.55	14.7251582	389.0349057	395
289.55	14.5387638	388.6990682	399
289.55	13.97958057	387.2243568	407
289.55	13.79318617	386.6281197	409
289.55	13.79318617	387.1489188	413
289.55	13.60679176	387.3070803	421
289.55	13.42039735	387.1282427	426
289.55	12.86121413	384.8991328	428
289.55	12.48842531	384.2542579	436
289.55	12.48842531	384.4878573	438
289.55	12.48842531	385.2422558	444
289.55	12.48842531	385.7362548	448
289.45	12.59433777	387.5080031	457
289.45	12.59433777	387.7415747	459
289.45	12.77954862	389.3210456	465
289.35	12.51430396	389.0218029	471
289.35	12.51430396	389.2821655	473
289.35	12.33027007	389.215974	479
289.25	12.2518527	390.1384239	488
289.25	12.06898923	389.8433056	492
289.25	11.52039881	387.6294029	494
289.35	11.41010067	387.5334787	498
289.35	11.41010067	388.2877476	504
289.35	11.22606678	387.9611936	508
289.35	10.85799902	386.8141792	512
289.35	10.48993126	386.0845273	519
289.35	10.30589738	386.0183358	525
289.35	10.30589738	386.2786984	527
289.35	10.12186349	385.9521443	531
289.35	9.753795731	385.325855	539
289.35	9.569761849	384.999301	543
289.35	9.385727967	384.5962031	546
289.35	9.385727967	385.5840158	554
289.35	9.385727967	386.1047409	558
289.25	9.326037129	386.4499717	562
289.25	9.691764076	389.0961321	570
289.25	9.691764076	389.3296481	572
289.15	9.630078412	389.8504581	577
289.15	9.630078412	390.3442717	581
289.05	9.74927931	392.0095432	589
289.05	9.929821519	393.0495689	591
289.05	10.11036373	394.3767481	595
288.95	10.04591238	395.1958503	603
288.95	10.04591238	395.8734269	608
288.95	10.04591238	396.1068593	610
288.85	9.981821438	396.9538827	618
288.85	9.981821438	397.4744221	622
288.85	9.981821438	397.9680963	626
288.75	9.918089178	398.0622918	628
288.75	9.740980442	398.2566757	636
288.75	9.918089178	399.3097983	638
288.65	9.678736862	399.267372	645
288.65	9.854713896	400.8095367	651
288.65	9.854713896	401.0697691	653
288.55	9.791693894	401.6597718	659
288.55	9.791693894	401.9199857	661
288.45	9.902760111	403.5237954	669
288.45	9.902760111	404.2011858	674
288.45	10.07649275	405.4740499	678
288.35	10.01195271	406.0573213	684
288.25	9.947775403	406.6417831	690
288.25	10.11928877	408.165824	696
288.15	10.05437218	409.4242727	707
288.15	10.05437218	409.9176206	711
288.05	9.989821043	410.2667278	715
288.05	9.989821043	410.4999085	717
288.05	10.15914004	412.5352584	727
288.05	10.15914004	413.28868	733
288.05	10.15914004	413.5488005	735
287.95	9.92563362	413.7875124	744
287.95	9.92563362	414.020665	746
287.95	9.92563362	414.5408685	750
287.85	9.861808166	414.86519	754
287.85	10.02895746	416.6315357	762
287.75	9.964416553	417.2127353	768
287.75	9.964416553	417.4727996	770
287.65	9.900240228	418.4722283	779
287.65	9.900240228	418.9653422	783
287.65	9.735236224	418.4810457	785
287.65	9.735236224	419.4942507	793
287.65	9.735236224	419.9873645	797
287.55	9.836426729	421.0820309	801
287.55	9.836426729	421.5750979	805
287.45	9.772974312	422.8366516	816
287.45	9.772974312	423.0966596	818
287.35	9.871712591	424.1538936	822
287.35	9.709881237	424.4352899	830
287.35	9.548049883	424.2237132	834
287.35	9.548049883	424.9766755	840
287.35	9.548049883	425.2366647	842
