说明：字符位置11-16为气压，19-23为高度，26-31为气温，34-38为湿度，48-50为风向，53-57为风速，
55 3419.001003.110   5000  26.710 73.509999.90 11710  8.110999  999.9  99999  9.999  
55 3419.00 665.912 355000   7.610  9.309999.90 34410  2.110999  999.9  99999  9.999  
55 3419.00 661.912 360000   7.610  8.009999.90 01010  0.810999  999.9  99999  9.999  
55 3419.00 657.912 365000   7.510  6.509999.90 15310  0.810999  999.9  99999  9.999  
55 3419.00 653.912 370000   7.410  5.709999.90 18710  1.210999  999.9  99999  9.999  
55 3419.00 649.912 375000   7.310  5.809999.90 23510  1.910999  999.9  99999  9.999  
55 3419.00 646.012 380000   7.110  6.909999.90 25110  3.410999  999.9  99999  9.999  
55 3419.00 642.112 385000   6.910  7.309999.90 25810  5.110999  999.9  99999  9.999  
55 3419.00 638.212 390000   7.110  6.909999.90 26310  6.710999  999.9  99999  9.999  
55 3419.00 634.312 395000   7.110 13.009999.90 26610  7.910999  999.9  99999  9.999  
55 3419.00 630.512 400000   6.910 17.509999.90 27110  8.510999  999.9  99999  9.999  
55 3419.00 626.712 405000   7.010 17.309999.90 27410  9.010999  999.9  99999  9.999  
55 3419.00 622.912 410000   6.710 19.909999.90 28010  8.610999  999.9  99999  9.999  
55 3419.00 619.112 415000   6.610 13.709999.90 28810  8.310999  999.9  99999  9.999  
55 3419.00 615.412 420000   5.910 25.409999.90 29610  7.910999  999.9  99999  9.999  
55 3419.00 611.612 425000   5.310 33.109999.90 30810  7.810999  999.9  99999  9.999  
55 3419.00 607.912 430000   4.610 45.509999.90 31010  7.610999  999.9  99999  9.999  
55 3419.00 604.212 435000   4.110 50.809999.90 30710  7.010999  999.9  99999  9.999  
55 3419.00 600.512 440000   3.910 48.109999.90 30310  6.610999  999.9  99999  9.999  
55 3419.00 596.812 445000   4.110 30.909999.90 29410  6.210999  999.9  99999  9.999  
55 3419.00 593.212 450000   4.010 21.409999.90 28610  6.310999  999.9  99999  9.999  
55 3419.00 589.612 455000   3.610 19.209999.90 28210  6.310999  999.9  99999  9.999  
55 3419.00 586.012 460000   3.210 17.409999.90 28210  6.410999  999.9  99999  9.999  
55 3419.00 582.412 465000   2.810 17.609999.90 28110  6.210999  999.9  99999  9.999  
55 3419.00 578.812 470000   2.410 15.609999.90 28010  6.310999  999.9  99999  9.999  
55 3419.00 575.212 475000   2.210 11.909999.90 28110  6.010999  999.9  99999  9.999  
55 3419.00 571.712 480000   2.010  7.909999.90 28210  5.510999  999.9  99999  9.999  
55 3419.00 568.212 485000   2.210  3.209999.90 28410  4.910999  999.9  99999  9.999  
55 3419.00 564.712 490000   2.410  4.809999.90 28210  4.910999  999.9  99999  9.999  
55 3419.00 561.212 495000   2.210 12.209999.90 27710  5.410999  999.9  99999  9.999  
55 3419.00 557.712 500000   1.810 15.909999.90 27010  5.710999  999.9  99999  9.999  
55 3419.00 554.312 505000   1.410 16.809999.90 26610  6.110999  999.9  99999  9.999  
55 3419.00 550.912 510000   0.910 18.009999.90 26710  6.010999  999.9  99999  9.999  
55 3419.00 547.412 515000   0.510 18.409999.90 26710  6.110999  999.9  99999  9.999  
55 3419.00 544.112 520000   0.010 18.809999.90 27110  6.810999  999.9  99999  9.999  
55 3419.00 540.712 525000  -0.410 19.209999.90 27210  6.910999  999.9  99999  9.999  
55 3419.00 537.312 530000  -1.010 19.709999.90 27410  7.110999  999.9  99999  9.999  
55 3419.00 534.012 535000  -1.410 20.309999.90 27510  6.910999  999.9  99999  9.999  
55 3419.00 530.612 540000  -1.910 20.809999.90 27710  6.810999  999.9  99999  9.999  
55 3419.00 527.312 545000  -2.410 21.209999.90 27710  6.810999  999.9  99999  9.999  
55 3419.00 524.012 550000  -2.910 21.609999.90 27510  6.510999  999.9  99999  9.999  
55 3419.00 520.712 555000  -3.410 22.509999.90 27410  6.510999  999.9  99999  9.999  
